full_name,host_type,language,stars,description
leftshiftone/pdfscript,GitHub,Kotlin,3,PDFScript is an open source software library for script based PDF generation.
ralscha/downloadchart,GitHub,Java,3,Ext JS 5/6 download chart service. Alternative to https://svg.sencha.io
geosolutions-it/mapfish-print,GitHub,Java,3,A component of http://www.mapfish.org for printing templated cartographic maps.  This module is the java serverside module.  It works well with the mapfish print javascript module.
gtxcontentconnector/contentconnector,GitHub,Java,2,The Gentics Content Connector provides a simple solution to serve content from a Gentics Content Repository and other Datasources. The Suite is intended (but not limited) to be used for web applications and when used in servlets or portlets it maxes out the benefits of the given environment.
usgs/asl-sensor-suite,GitHub,Java,2,Java program meant to be one-stop-shop for seismic sensor testing
navikt/fpsoknad-mottak,GitHub,Java,2,Mottar selvbetjente søknader om foreldrepenger og engangsstønad fra frontend og sender dem videre inn i NAV for behandling.
exodev/core,GitHub,Java,2,eXo Core
phamtuanchip/estudy,GitHub,JavaScript,2,This is a new e-learnning system working base on gatein portal frame work
EsupPortail/esup-ecandidat,GitHub,Java,2,eCandidat
SZUE/boxable,GitHub,Java,2,Create tables in pdf documents using PDFBox
tdonohue/DSpace-Spring-Boot,GitHub,Java,2,"A DSpace 6.x Spring Boot UI prototype, using Thymeleaf and Bootstrap"
civic-data/OpenLegislation,GitHub,Java,1,OpenLegislation is a web service that delivers legislative information from the New York State Senate and Assembly to the public in near-real time.  It is used internally to serve up legislative data for nysenate.gov and the Bluebird-CRM.
BIBSYSDEV/Brage6,GitHub,Java,1,"Deltagerne i Bragekonsortiet bruker UNIT Brage som system for sine åpne arkiv. I disse arkivene gjør de artikler, studentoppgaver, skriftserier og annet materiale som produseres ved institusjonen åpent tilgjengelig. UNIT Brage brukes av norske universiteter, høgskoler, forskningsinstitutter og forvaltningsinstitusjoner. Den enkelte institusjon registrerer og vedlikeholder selv innholdet i sitt eget arkiv. Den tekniske driften og utviklingen av arkivene utføres av UNIT."
mgogh/MapStore2,GitHub,JavaScript,1,"Modern webmapping with OpenLayers, Leaflet and React"
williamgrosset/OSCAR-ConCert,GitHub,Java,1,:hospital: Automated auditing for the medical system OSCAR.
lockss/laaws-metadataextractor,GitHub,Java,1,
georchestra/mapstore2-georchestra,GitHub,JavaScript,1,geOrchestra newest viewer
Maps4HTML/geoserver,GitHub,Java,1,Maps for HTML Community Module development fork of GeoServer
geosolutions-it/austrocontrol-C125,GitHub,JavaScript,1,Repository for Austrocontrol work
chinamds/mds-mvc,GitHub,Java,1,"MDS is a web(SSH) based with Multi-tenant software product, that lets you manage your multi media on your own website."
egovernments/digit-bpa,GitHub,Java,1,
mwoodiupui/DSpace,GitHub,Java,1,Stuff I'm working on in DSpace.
MPDL/imeji,GitHub,JavaScript,1,A lightweight research data repository
